Datasety_Intenzita ŽD;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
2025;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;Počet vých vlakov;;;;Počet konč vlakov;;;;Počet tranz vlakov;;;;Počet vých vlakov;Počet konč vlakov;Počet tranz vlakov
;N;;O;;N;;O;;N;;O;;;;
Úplný názov dopravného bodu;ND;ND osobitného určenia;OD;OD osobitného určenia;ND;ND osobitného určenia;OD;OD osobitného určenia;ND;ND osobitného určenia;OD;OD osobitného určenia;;;
Jablonov nad Turňou;6;341;3;2;9;227;14;2;1714;1107;6255;33;352;252;9109
Jablonové;0;5;0;;0;5;0;;1514;373;4;;5;5;1891
Jaklovce;0;0;0;0;0;0;0;0;203;149;10793;6;0;0;11151
Jalná;0;0;0;0;0;0;0;0;704;752;10163;4;0;0;11623
Jalovec;0;0;0;0;0;0;0;0;379;259;6146;165;0;0;6949
Jasov;0;0;;;0;0;;;190;79;;;0;0;269
Jastrabá;0;0;0;0;0;0;0;0;567;366;2996;214;0;0;4143
Jatov;0;0;0;0;0;0;0;0;11041;3806;26784;208;0;0;41839
Jazernica;0;0;0;0;0;0;0;0;2147;715;15744;141;0;0;18747
Jelenec;;42;0;2;;42;2;0;;99;0;0;44;44;99
Jelšava;0;0;;;0;1;;;382;50;;;0;1;432
Jelšavská Teplica;0;0;;;0;0;;;450;51;;;0;0;501
Jelšovce;3;53;1;0;2;53;0;0;624;563;15070;51;57;55;16308
Jesenské;54;93;6164;2;63;83;6627;5;685;183;4726;20;6313;6778;5614
Jesenské zastávka;0;0;0;0;0;0;0;0;129;78;7526;6;0;0;7739
Jesenské údolie;0;0;0;0;0;0;0;0;565;733;12826;6;0;0;14130
Jovice;0;0;0;0;0;0;0;0;1845;1433;6265;34;0;0;9577
Kalinovo;0;0;0;;0;0;0;;28;29;8342;;0;0;8399
Kalná nad Hronom;126;112;289;0;121;110;236;4;340;460;11241;4;527;471;12045
Kalša;0;0;0;0;0;0;0;0;6320;3938;20957;49;0;0;31264
