;;;;KAPACITA  2025;;;;
  ŽSR vyjadruje voľnú kapacitu trate:;;;;;;;;
a)  využitím  priepustnej  výkonnosti pravidelnou vlakovou dopravou, ;;;;;;;;
b)  počtom voľných  vlakových trás.;;;;;;;;
;;;;;;;;
;Vysvetlivky:;OD   - osobná doprava;;P   - párny smer;;Ppp   - párny smer, vlaky podľa potreby;;
;;ND   - nákladná doprava;;N   - nepárny smer;;Npp   - nepárny smer, vlaky podľa potreby;;
;;;;;;;;
Trať;Traťový úsek;Obmedzujúci medzistaničný úsek;Smer;Počet  trás vlakov;;;Voľná kapacita (NVK);Stupeň obsadenia traťovej koľaje pravidelnou dopravou (So)
;;;;OD;ND;Kapacita (n);Využitie praktickej priepustnosti v % (Kvp);
B;Komárno;Komárno;N;0;11;;46,2;
;;;Npp;0;0;;;
;;;P;14;13;171;;0,28
120;Komárno;Komárno;Ppp;0;2;;115;
B;Komárno zr. st.;Komárno zr. st.;N;14;11;;30,5;
;;;Npp;0;2;;;
;;;P;14;14;109;;0,43
120;Komárno zr. st.;Bajč;Ppp;0;1;;53;
B;Nové Zámky;Nové Zámky;N;14;12;;49,4;
;;;Npp;0;1;;;
;;;P;16;5;70;;0,42
121;Hronská Dúbrava;Hronská Dúbrava;Ppp;0;4;;19;
A;Levice;Žiar nad Hronom;N;16;6;;61,5;
;;;Npp;0;4;;;
;;;P;21;5;85;;0,33
121;Levice;Beša;Ppp;0;5;;25;
A;Úľany nad Žitavou;Podhájska;N;19;6;;59,8;
;;;Npp;0;4;;;
;;;P;25;7;114;;0,47
121;Úľany nad Žitavou;Úľany nad Žitavou;Ppp;0;5;;43;
A;Šurany;Šurany;N;23;7;;54,4;
;;;Npp;0;4;;;
;;;P;10;3;88;;0,26
121;Šurany;Šurany;Ppp;0;4;;55;
A;Palárikovo;Palárikovo;N;10;3;;29,5;
;;;Npp;0;3;;;
;;;P;7;1;39;;0,24
121;Banská Štiavnica;Kozelník;Ppp;0;0;;23;
B;Hronská Dúbrava;Banská Belá;N;7;1;;41,0;
;;;Npp;0;1;;;
;;;P;9;2;48;;0,43
122;Horná Štubňa;Sklenné pri Hand.;Ppp;0;1;;22;
A;Handlová;Handlová;N;10;3;;50,0;
;;;Npp;0;1;;;
;;;P;9;2;52;;0,42
122;Handlová;Handlová;Ppp;0;2;;24;
A;Prievidza;Chrenovec;N;10;3;;46,2;
;;;Npp;0;2;;;
;;;P;0;1;62;;0,03
122;Nitrianske Pravno;Nitrianske Pravno;Ppp;0;1;;58;
C;Prievidza;Prievidza;N;0;1;;3,2;
;;;Npp;0;1;;;
;;;P;18;8;84;;0,52
122;Prievidza;Prievidza n. st.;Ppp;0;2;;29;
C;Chynorany;Nováky;N;18;7;;60,7;
;;;Npp;0;2;;;
;;;P;21;3;81;;0,49
122;Chynorany;Bošany;Ppp;0;3;;27;
C;Topoľčany;Topoľčany;N;21;3;;59,3;
;;;Npp;0;3;;;
;;;P;22;3;81;;0,52
122;Topoľčany;Ludanice;Ppp;0;3;;25;
C;Lužianky;Koniarovce;N;22;3;;61,7;
;;;Npp;0;3;;;
;;;P;33;2;100;;0,61
122;Lužianky;Lužianky;Ppp;0;1;;28;
C;Nitra;Nitra;N;33;1;;69,0;
;;;Npp;0;2;;;
;;;P;16;0;72;;0,41
122;Nitra;Ivanka pri Nitre;Ppp;0;2;;35;
C;Šurany;Komjatice;N;16;1;;45,8;
;;;Npp;0;2;;;
;;;P;30;6;122;;0,52
122;Šurany;Výh Bánov z;Ppp;0;1;;47;
C;Nové Zámky;Nové Zámky;N;32;5;;60,0;
;;;Npp;0;1;;;
;;;P;8;3;144;;0,14
122;Jelšovce;Jelšovce;Ppp;0;2;;119;
D;Zbehy;Zbehy;N;8;2;;14,6;
;;;Npp;0;2;;;
;;;P;0;0;30;;0,00
123;Kozárovce;Kozárovce;Ppp;0;1;;28;
A;Zlaté Moravce;Zlaté Moravce;N;0;0;;0,0;
;;;Npp;0;1;;;
;;;P;0;1;45;;0,03
123;Zlaté Moravce;Zlaté Moravce;Ppp;0;1;;41;
A;Dražovce rampa;Jelenec;N;0;1;;4,4;
;;;Npp;0;1;;;
;;;P;0;1;54;;0,03
123;Topoľčianky;Topoľčianky;Ppp;0;0;;52;
B;Zlaté Moravce;Zlaté Moravce;N;0;1;;3,7;
;;;Npp;0;0;;;
;;;P;4;2;24;;0,18
123;Zlaté Moravce;Vráble;Ppp;0;1;;11;
B;Úľany nad Žitavou;Maňa;N;4;1;;45,8;
;;;Npp;0;1;;;
;;;P;0;0;45;;0,00
123;Zbehy;Kapince;Ppp;0;1;;43;
C;Radošina;Radošina;N;0;0;;0,0;
;;;Npp;0;1;;;
;;;P;27;6;97;;0,58
123;Luźianky TIP;Rišňovce;Ppp;0;3;;23;
D;Leopoldov;Hlohovec;N;27;8;;70,1;
;;;Npp;0;3;;;
;;;P;15;8;60;;0,65
124;Komárno;Komárno;Ppp;0;1;;12;
A;Dunajská Streda;Zlatná na Ostrove;N;15;8;;76,7;
;;;Npp;0;1;;;
;;;P;36;16;119;;0,78
124;Dunajská Streda;Kvetoslavov;Ppp;0;0;;18;
A;Bratislava-N. Mesto;Nové Košariská;N;35;13;;84,0;
;;;Npp;0;1;;;
;;;P;0;0;42;;0,00
124;Neded;Neded;Ppp;0;1;;40;
C;Šaľa;Šaľa;N;0;0;;0,0;
;;;Npp;0;1;;;
;;;P;58;38;157;60;0,37
125;Púchov;Ilava;Ppp;0;1;;61,1;
A;Trenčianska Teplá;Dubnica nad Váhom;N;58;36;153;56;0,39
;;;Npp;0;3;;61,3;
;;;P;63;39;141;37;0,52
125;Trenčianska Teplá;AH Opatová;Ppp;0;2;;72,4;
A;Trenčín;Trenčín;N;62;38;130;27;0,67
;;;Npp;0;3;;76,7;
;;;P;54;38;128;35;0,50
125;Trenčín;Tr. Bohuslavice;Ppp;0;1;;71,6;
A;Nové Mesto nad V.;Nové Mesto nad V.;N;54;37;119;26;0,68
;;;Npp;0;2;;76,6;
;;;P;40;37;127;49;0,31
125;Nové Mesto nad V.;Výh Horná Streda;Ppp;0;1;;60,9;
A;Leopoldov;Piešťany;N;40;36;122;44;0,29
;;;Npp;0;2;;62,4;
;;;P;67;38;149;43;0,52
125;Leopoldov;AH Prílohy;Ppp;0;1;;70,7;
A;Trnava;Trnava;N;67;41;148;38;0,59
;;;Npp;0;2;;73,2;
;;;P;87;43;149;18;0,60
125;Trnava;Výh Svätý Jur;Ppp;0;1;;87,5;
